URL,Status_Sitemap,Tipo,Categoria,Keywords_Rankeia,Melhor_Posicao,Volume_Estimado,Problema_SEO,Acao_Recomendada
/,Sitemap,Institucional,Home,"recreação para festa infantil (590v) | recreação festa infantil (590v) | animador de festa infantil (1900v) | recreador infantil (1000v) | recreacao infantil (2400v) | animar festa infantil (480v) | animação em festa infantil (480v) | recreador de festa infantil (260v) | monitor para festa infantil (170v) | monitores para festa infantil (140v) | animador festa infantil (140v) | monitor de festa infantil (140v) | recreadores para festa infantil (140v) | empresa de recreação infantil (110v) | recreação em festa (110v)",6,7550,CANIBAL,"Home está capturando keywords de serviço (animador, recreador, monitor) que deveriam rankear nas LPs específicas. Criar/fortalecer LP /animacao-infantil-para-festas-em-sp/ e /equipe-de-recreadores-infantis-em-sao-paulo/"
/animacao-infantil-para-festas-em-sp/,Sitemap,LP Serviço,Core,"animação infantil festas (210v)",75,210,POSICAO_RUIM,"Home canibaliza com pos 13 (480v). Otimizar page SEO: title tag, H1, semântica interna. Criar conteúdo específico para animação infantil"
/espaco-baby-para-festa-sp/,Sitemap,LP Serviço,Bebê/Aniversário,"espaço bebe (480v) | baby festa (390v) | espaço para aniversario infantil (260v) | espaço baby (140v) | festa de bebe (140v) | lugares diferentes para comemorar aniversário infantil em sp (210v)",12,1620,OK_PARCIAL,"Ranqueia para 6 kws principais. Posição 12-19 para keywords de maior volume. Otimizar para 'espaço para aniversário infantil' (260v, pos 37)"
/festa-das-cores-em-sao-paulo/,Sitemap,LP Serviço,Atividade,"como funciona a festa das cores (320v)",32,320,POSICAO_RUIM,"Keyword é informacional (como funciona). Falta keyword transacional. Adicionar conteúdo de conversão e keyword 'festa das cores sp'"
/show-musical-infantil-em-sao-paulo/,Sitemap,LP Serviço,Show,"show musicali (210v) | musical infantil sp (170v)",23,380,POSICAO_RUIM,"Posição 23-28. Melhorar otimização on-page. Incluir keyword 'show musical infantil sp'"
/eventos-infantis-corporativos-em-sao-paulo/,Sitemap,LP Corporativa,B2B,,,,SEM_KW,"Sem dados SEMrush. Verificar indexação. Oportunidade: otimizar para 'eventos infantis corporativos sp' e 'kids day'"
/esculturas-de-balao-para-festas-em-sao-paulo/,Sitemap,LP Serviço,Decoração,,,,SEM_KW,"Sem dados SEMrush. Verificar indexação. Oportunidade: keyword 'escultura de balão sp'"
/eventos-infantis-para-empresas-em-sao-paulo/,Sitemap,LP Corporativa,B2B,,,,SEM_KW,"Sem dados SEMrush. Possível canibalização com /eventos-infantis-corporativos-em-sao-paulo/ — consolidar ou diferenciar"
/dia-das-criancas-em-sao-paulo/,Sitemap,LP Sazonal,Sazonal,"festa de dia das crianças (260v) | dia das crianças em empresas (140v)",83,400,POSICAO_RUIM,"Posição 83-85. Página muito fraca para keyword sazonal importante. Reescrever com foco em 'dia das crianças em sp'"
/orcamento-de-entretenimento/,Sitemap,Institucional,Conversão,,,,SEM_KW,"Página de conversão. Sem dados SEMrush esperado. Manter e otimizar para UX"
/colonia-de-ferias-infantil-sp/,Sitemap,LP Serviço,Atividade,"colônia de férias infantil (320v) | atividades colonia de ferias (210v) | colonia de ferias sp (170v) | colônia de férias atividades recreativas (170v) | curso de férias infantil (110v) | ideias de oficinas para colônia de férias (90v) | programação colônia de férias educação infantil (110v)",13,1180,OK,"Melhor página do site. Posição 13-29 para múltiplas keywords. Manter e expandir conteúdo"
/cases-e-clientes-de-evento-infantil/,Sitemap,Cases,Portfólio,,,,SEM_KW,"Sem dados SEMrush. Página importante para E-E-A-T. Otimizar para 'empresa recreação infantil clientes'"
/carnaval-infantil-em-sao-paulo/,Sitemap,LP Sazonal,Sazonal,,,,SEM_KW,"Sem dados SEMrush. Sazonal importante. Verificar indexação"
/bolha-de-sabao-gigante-em-sao-paulo/,Sitemap,LP Serviço,Atividade,,,,SEM_KW,"Sem dados SEMrush. Verificar indexação. Oportunidade: keyword 'bolha de sabão gigante sp'"
/baladinha-kids-e-dj-infantil-em-sao-paulo/,Sitemap,LP Serviço,Show,"baladinha (880v) | festa infantil balada (210v) | baladinha festa infantil (90v)",sem ranking,1180,PROBLEMA_CRITICO,"Keyword principal 'baladinha' (880v) sem ranking apesar de ter LP dedicada. Otimização urgente da página"
/ativacoes-de-marca-com-criancas-em-sao-paulo/,Sitemap,LP Corporativa,B2B,,,,SEM_KW,"Sem dados SEMrush. Verificar se não está sendo canibalizada por URL órfã /ativacoes-de-marca-experiencias-sensoriais-sp/"
/atelie-infantil-em-sao-paulo/,Sitemap,LP Serviço,Atividade,,,,SEM_KW,"Sem dados SEMrush. Verificar indexação"
