wave,ordem,tier,url_atual,url_nova,url_muda,acao,tipo_pagina,cluster,entidade,keyword_alvo,volume,kd,intent,persona_primaria,pain_layer,schwartz,gerador_prd,status_atual,redirect_destino,titulo_sugerido,prazo_semana,observacoes
TECNICO,1,6,/animadores-de-festa-infantil-em-sao-paulo/,/animacao-infantil-para-festas-em-sp/,SIM,REDIRECT,Redirect,Animacao,Animacao Infantil,animadores para festa infantil,320,baixo,Comercial,,,,,,ORFA,/animacao-infantil-para-festas-em-sp/,,Sem 1,URL orfa pos 54. Transfere equity para LP principal.
TECNICO,2,6,/baladinha-kids-e-dj-em-sao-paulo/,/baladinha-kids-e-dj-infantil-em-sao-paulo/,SIM,REDIRECT,Redirect,Baladinha,DJ Baladinha Kids,baladinha casa de festas infantil,110,baixo,Comercial,,,,,,ORFA,/baladinha-kids-e-dj-infantil-em-sao-paulo/,,Sem 1,URL antiga pos 31. Consolidar equity.
TECNICO,3,6,/aniversarios-e-festas-infantis-em-sao-paulo/,/aniversario-infantil-em-sao-paulo/,SIM,REDIRECT,Redirect,Aniversario,Aniversario Infantil Premium,aniversarios festas infantis sp,110,baixo,Comercial,,,,,,ORFA,/aniversario-infantil-em-sao-paulo/,,Sem 1,URL antiga pos 64. Consolidar equity.
TECNICO,4,6,/kids-day-e-family-day-em-sao-paulo/,/kids-day-e-family-day-corporativo-em-sao-paulo/,SIM,REDIRECT,Redirect,Corporativo,Eventos Corporativos Infantis,kiddies day,320,baixo,Comercial,,,,,,ORFA,/kids-day-e-family-day-corporativo-em-sao-paulo/,,Sem 1,URL antiga pos 92. Transfere equity para LP corporativa.
TECNICO,5,6,/ativacoes-de-marca-experiencias-sensoriais-sp/,/ativacoes-de-marca-com-criancas-em-sao-paulo/,SIM,REDIRECT,Redirect,Corporativo,Eventos Corporativos Infantis,ativacoes para eventos,110,baixo,Comercial,,,,,,ORFA,/ativacoes-de-marca-com-criancas-em-sao-paulo/,,Sem 1,URL alternativa pos 62. Consolidar.
TECNICO,6,6,/magico-para-festa-infantil-em-sao-paulo/,/magico-para-festa-infantil-em-sao-paulo/,NAO,MANTER,LP Servico,Animacao,Animacao Infantil,magico em festa infantil,210,baixo,Comercial,,,,,,ORFA_ATIVA,,Magico para Festa Infantil em Sao Paulo | Agita Morango,Sem 1,ORFA ATIVA pos 22. Adicionar ao sitemap.xml. Nao redirecionar.
W0,1,2,,/animacao-infantil-para-festas-em-sp/,NAO,REWRITE,LP Servico,Animacao,Animacao Infantil,animador de festa infantil,1900,medio,Comercial,P1,Declarada,Solution Aware,Perturbacao + Inoculacao,POSICAO_RUIM,,Animacao Infantil para Festas em SP | Agita Morango,Sem 1,Maior prioridade. Home canibaliza com 7.550v. Remover keywords animador/recreador da Home.
W0,2,2,,/equipe-de-recreadores-infantis-em-sao-paulo/,NAO,REWRITE,LP Servico,Recreacao,Equipe Recreadores,recreador infantil,1000,medio,Comercial,P1,Declarada,Problem Aware,Radical Transparency + Avatar Humano,ZERO_RANKING,,,Sem 1,Zero ranking. Home captura queries de recreador. CPC alto R$2,39.
W0,3,2,,/aniversario-infantil-em-sao-paulo/,NAO,REWRITE,LP Servico,Aniversario,Aniversario Infantil Premium,aniversario infantil sao paulo,720,baixo,Comercial,P1,Declarada,Solution Aware,Frame Shift + Loss Aversion,SEM_KW,,,Sem 2,KD=5 win facil. Verificar indexacao antes. Submeter sitemap.xml no GSC.
W0,4,5,,/blog/animador-de-festa-infantil-o-que-faz/,NAO,CRIAR,Blog,Animacao,Animacao Infantil,animador de festa infantil o que faz,480,baixo,Informacional,P1,Declarada,Problem Aware,Perturbacao,NOVA,,,Sem 1,Blog TOFU. Suporte semantico LP Animacao. Topo de funil P1/P2/P3.
W0,5,5,,/blog/como-contratar-recreacao-infantil/,NAO,CRIAR,Blog,Recreacao,Recreacao Infantil Festas,como contratar recreacao infantil para festa,590,baixo,Informacional,P1,Declarada,Solution Aware,Perturbacao,NOVA,,,Sem 2,Ponte TOFU/MOFU. CPC R$3,06. Decision point critico P1+P8.
W0,6,2,,/baladinha-kids-e-dj-infantil-em-sao-paulo/,NAO,OTIMIZAR,LP Servico,Baladinha,DJ Baladinha Kids,baladinha kids,880,baixo,Comercial,P1,Declarada,Problem Aware,Frame Shift,PROBLEMA_CRITICO,,,Sem 2,880v sem ranking apesar de ter LP. On-page + linkagem de LP Animacao.
W0,7,4,,/recreacao-corporativa-sp/,NAO,CRIAR,Hub,Corporativo,Eventos Corporativos Infantis,kids day corporativo sp,180,baixo,Comercial,P9,Declarada,Solution Aware,Frame Shift + Loss Aversion,NOVA,,,Sem 3,Hub B2B novo. Agrega kids-day + ativacoes + parcerias. Ticket R$10-30k.
W0,8,5,,/blog/aniversario-infantil-em-casa/,NAO,CRIAR,Blog,Aniversario,Aniversario Infantil Premium,aniversario infantil em casa como organizar,720,baixo,Informacional,P5,Declarada,Solution Aware,Frame Shift,NOVA,,,Sem 3,Alternativa ao buffet. Satisfaz P3 Pragmatica + P5 Apartamento.
W0,9,5,,/blog/quanto-custa-animacao-festa/,NAO,CRIAR,Blog,Animacao,Animacao Infantil,quanto custa animacao de festa infantil sp,250,baixo,Transacional,P8,Declarada,Problem Aware,Radical Transparency,NOVA,,,Sem 3,Transparencia de preco. Zero cobertura concorrentes.
W0,10,2,/cases-e-clientes-de-evento-infantil/,/cases-e-clientes-de-evento-infantil/,NAO,REWRITE,Entity,E-E-A-T,Recreacao Infantil Festas,empresa recreacao infantil referencias,0,baixo,Comercial,P1,Oculta,Most Aware,Avatar Humano + Radical Transparency,SEM_KW,,,Sem 2,E-E-A-T crucial. Storytelling com Itau/D&G/Vivo. 620 reviews. 12k familias.
W0,11,1,/sobre-a-agita-morango/,/sobre-a-agita-morango/,NAO,UPDATE,Institucional,Brand,Afetiva Methodology,agita morango 15 anos recreacao,0,baixo,Brand,P1,Real,Most Aware,Avatar Humano,BRAND,,,Sem 1,Atualizar: 15 anos + Afetiva Methodology + clientes premium. Boost E-E-A-T.
W1,12,2,/empresa-de-recreacao-em-sao-paulo/,/empresa-de-recreacao-em-sao-paulo/,NAO,OTIMIZAR,LP Servico,Recreacao,Recreacao Infantil Festas,empresa de recreacao infantil sp,110,baixo,Comercial,P1,Declarada,Solution Aware,Perturbacao,CANIBAL,,,Sem 4,Hub B2C. Home captura essa keyword pos 16. Diferenciar e criar linkagem.
W1,13,4,/kids-day-e-family-day-corporativo-em-sao-paulo/,/kids-day-e-family-day-corporativo-em-sao-paulo/,NAO,REWRITE,Hub,Corporativo,Eventos Corporativos Infantis,kids day corporativo sao paulo,180,baixo,Comercial,P9,Declarada,Product Aware,Frame Shift,SEM_KW,,,Sem 4,Recebe redirect da URL orfa /kids-day-e-family-day-em-sao-paulo/.
W1,14,4,/ativacoes-de-marca-com-criancas-em-sao-paulo/,/ativacoes-de-marca-com-criancas-em-sao-paulo/,NAO,REWRITE,LP Corporativa,Corporativo,Eventos Corporativos Infantis,ativacoes de marca com criancas sp,110,baixo,Comercial,P10,Declarada,Product Aware,Prediction Error,SEM_KW,,,Sem 4,Recebe redirect da URL orfa pos 62.
W1,15,5,,/blog/brincadeiras-dirigidas-educacao/,NAO,CRIAR,Blog,Educacional,Recreacao Infantil Festas,brincadeiras dirigidas para educacao infantil,320,baixo,Informacional,P9,Declarada,Unaware,Perturbacao,NOVA,,,Sem 4,Blog educacional. Captura P9/P10 educadores. Topo de funil amplo.
W1,16,5,,/blog/diferenca-animador-recreador/,NAO,CRIAR,Blog,Semantico,Animacao Infantil,diferenca entre animador e recreador de festas,300,baixo,Informacional,P1,Declarada,Problem Aware,Prediction Error,NOVA,,,Sem 4,SEO semantico. Fortalece autoridade topical dos dois clusters.
W1,17,5,,/blog/kids-day-corporativo-organizar/,NAO,CRIAR,Blog,Corporativo,Eventos Corporativos Infantis,kids day corporativo como organizar,180,baixo,Informacional,P9,Declarada,Solution Aware,Perturbacao,NOVA,,,Sem 5,TOFU B2B. Suporte ao hub /recreacao-corporativa-sp/.
