wave,ordem,url_slug,tipo_pagina,acao,cluster,entidade,keyword_alvo,volume,kd_estimado,intent,persona_primaria,pain_layer,jtbd,schwartz,gerador_prd,status_atual,prazo_semana,titulo_sugerido,observacoes
W0,1,/animacao-infantil-para-festas-em-sp/,LP Servico,REWRITE,Animacao,Animacao Infantil,animador de festa infantil,1900,medio,Comercial,P1,Declarada,J1 - Contratar animacao confiavel,Solution Aware,Perturbacao + Inoculacao,POSICAO_RUIM pos 75,Sem 1,Animacao Infantil para Festas em SP | Agita Morango,Home canibaliza. Remover keywords de animacao da Home antes ou junto.
W0,2,/equipe-de-recreadores-infantis-em-sao-paulo/,LP Servico,REWRITE,Recreacao,Equipe Recreadores,recreador infantil,1000,medio,Comercial,P1,Declarada,J2 - Contratar equipe profissional,Problem Aware,Radical Transparency + Avatar Humano,ZERO RANKING,Sem 1,Equipe de Recreadores Infantis em SP | Agita Morango,Zero ranking. Canibalismo com Home capturando queries.
W0,3,/aniversario-infantil-em-sao-paulo/,LP Servico,REWRITE,Aniversario,Aniversario Infantil Premium,aniversario infantil sao paulo,720,baixo,Comercial,P1,Declarada,J4 - Contratar pacote aniversario completo,Solution Aware,Frame Shift + Loss Aversion,ZERO DADOS verificar indexacao,Sem 2,Aniversario Infantil em Sao Paulo | Agita Morango,KD=5 - win facil. Verificar indexacao antes. Submeter sitemap.
W0,4,/blog/animador-de-festa-infantil-o-que-faz/,Blog,CRIAR,Animacao,Animacao Infantil,animador de festa infantil o que faz,480,baixo,Informacional,P1,Declarada,J6 - Entender diferenca animador vs recreador,Problem Aware,Perturbacao,NOVA,Sem 1,Animador de Festa Infantil: O que Faz e Quanto Cobra em SP,Blog TOFU. Suporte semantico LP Animacao. Persona P1/P2/P3 topo de funil.
W0,5,/blog/como-contratar-recreacao-infantil/,Blog,CRIAR,Recreacao,Recreacao Infantil Festas,como contratar recreacao infantil para festa,590,baixo,Informacional,P1,Declarada,J1 - Processo de contratacao seguro,Solution Aware,Perturbacao,NOVA,Sem 2,Como Contratar Recreacao Infantil para Festa em SP: Guia Completo,Ponte TOFU/MOFU. CPC alto R$3,06. Decision point critico P1 + P8.
W0,6,/baladinha-kids-e-dj-infantil-em-sao-paulo/,LP Servico,OTIMIZAR,DJ Baladinha,DJ Baladinha Kids,baladinha kids,880,baixo,Comercial,P1,Declarada,J2 - Show animado infantil,Problem Aware,Frame Shift,PROBLEMA_CRITICO sem ranking,Sem 2,Baladinha Kids e DJ Infantil em Sao Paulo | Agita Morango,880v sem ranking. On-page + linkagem interna de LP Animacao e Hub B2B.
W0,7,/recreacao-corporativa-sp/,Hub B2B,CRIAR,Corporativo,Eventos Corporativos Infantis,kids day corporativo sp,180,baixo,Comercial,P9,Declarada,J8 - Organizar kids day para empresa,Solution Aware,Frame Shift + Loss Aversion,NOVA,Sem 3,Recreacao Corporativa em SP | Kids Day e Eventos Infantis | Agita Morango,Hub novo. Agrega LP kids-day + ativacoes + parcerias. Ticket R$10-30k.
W0,8,/blog/aniversario-infantil-em-casa/,Blog,CRIAR,Aniversario,Aniversario Infantil Premium,aniversario infantil em casa como organizar,720,baixo,Informacional,P5,Declarada,J5 - Aniversario sem buffet em espaco pequeno,Solution Aware,Frame Shift,NOVA,Sem 3,Aniversario Infantil em Casa: Como Organizar com Recreacao Profissional,Solucao alternativa ao buffet. Satisfaz P3 Pragmatica + P5 Apartamento.
W0,9,/blog/quanto-custa-animacao-festa/,Blog,CRIAR,Animacao,Animacao Infantil,quanto custa animacao de festa infantil sp,250,baixo,Transacional,P8,Declarada,J1 - Comparar preco justo,Problem Aware,Radical Transparency,NOVA,Sem 3,Quanto Custa Animacao de Festa Infantil em SP em 2026,Transparencia de preco. Zero cobertura dos concorrentes. CPC referencia.
W0,10,/cases-e-clientes/,Entity Page,REWRITE,E-E-A-T,Recreacao Infantil Festas,empresa recreacao infantil referencias,0,baixo,Comercial,P1,Oculta,J11 - Verificar reputacao e historico,Most Aware,Avatar Humano + Radical Transparency,E-E-A-T existente,Sem 2,Cases e Clientes | 12.000 Familias Atendidas | Agita Morango,E-E-A-T crucial. Storytelling com Itau / DG / Vivo. 620 reviews Google.
